"X","Y"
1559639.91255661,7006664.628373
1568007.07156546,7006658.29788512
1578007.07156546,7006658.29788512
1588007.07156546,7006658.29788512
1598007.07156546,7006658.29788512
1608007.07156546,7006658.29788512
1618007.07156546,7006658.29788512
1628007.07156546,7006658.29788512
1638007.07156546,7006658.29788512
1648007.07156546,7006658.29788512
1658007.07156546,7006658.29788512
1668007.07156546,7006658.29788512
1678007.07156546,7006658.29788512
1688007.07156546,7006658.29788512
1698007.07156546,7006658.29788512
1708007.07156546,7006658.29788512
1718007.07156546,7006658.29788512
1728007.07156546,7006658.29788512
1738007.07156546,7006658.29788512
1748007.07156546,7006658.29788512
1757199.89927842,7006552.36627105
1551154.5828126,7019297.29700969
1558479.89443683,7016960.51519461
1568007.07156546,7016658.29788512
1578007.07156546,7016658.29788512
1588007.07156546,7016658.29788512
1598007.07156546,7016658.29788512
1608007.07156546,7016658.29788512
1618007.07156546,7016658.29788512
1628007.07156546,7016658.29788512
1638007.07156546,7016658.29788512
1648007.07156546,7016658.29788512
1658007.07156546,7016658.29788512
1668007.07156546,7016658.29788512
1678007.07156546,7016658.29788512
1688007.07156546,7016658.29788512
1698007.07156546,7016658.29788512
1708007.07156546,7016658.29788512
1718007.07156546,7016658.29788512
1727900.03777306,7016200.71261481
1737567.13993309,7014294.60159355
1748538.30080946,7014923.37001124
1757937.02519036,7016247.64501347
1550655.08567981,7025787.59949998
1558007.07156546,7026658.29788512
1568007.07156546,7026658.29788512
1578007.07156546,7026658.29788512
1588007.07156546,7026658.29788512
1598007.07156546,7026658.29788512
1608007.07156546,7026658.29788512
1618007.07156546,7026658.29788512
1628007.07156546,7026658.29788512
1638007.07156546,7026658.29788512
1648007.07156546,7026658.29788512
1658007.07156546,7026658.29788512
1668007.07156546,7026658.29788512
1678007.07156546,7026658.29788512
1688007.07156546,7026658.29788512
1698007.07156546,7026658.29788512
1708007.07156546,7026658.29788512
1718007.07156546,7026658.29788512
1727239.87647302,7026433.07831289
1737715.7765853,7027616.49367738
1748751.76323759,7027318.27398159
1758032.02076131,7027696.86048374
1763764.60807062,7028749.16411534
1551730.55643999,7036328.02739815
1558007.07156546,7036658.29788512
1568007.07156546,7036658.29788512
1578007.07156546,7036658.29788512
1588007.07156546,7036658.29788512
1598007.07156546,7036658.29788512
1608007.07156546,7036658.29788512
1618007.07156546,7036658.29788512
1628007.07156546,7036658.29788512
1638007.07156546,7036658.29788512
1648007.07156546,7036658.29788512
1658007.07156546,7036658.29788512
1668007.07156546,7036658.29788512
1678007.07156546,7036658.29788512
1688007.07156546,7036658.29788512
1698007.07156546,7036658.29788512
1708007.07156546,7036658.29788512
1718007.07156546,7036658.29788512
1728014.1278587,7036700.80328427
1738007.07156546,7036658.29788512
1748005.59498025,7036731.08912642
1756650.44287605,7036799.5381556
1765475.40700366,7036977.37564847
1550172.07562039,7046775.69666523
1558007.07156546,7046658.29788512
1568007.07156546,7046658.29788512
1578007.07156546,7046658.29788512
1588007.07156546,7046658.29788512
1598007.07156546,7046658.29788512
1608007.07156546,7046658.29788512
1618007.07156546,7046658.29788512
1628007.07156546,7046658.29788512
1638007.07156546,7046658.29788512
1648007.07156546,7046658.29788512
